Smiles,CorrectionEnergy
OCc1ccccc1O[C@@H]2O[C@H](COC(=O)c3ccccc3)[C@@H](O)[C@H](O)[C@H]2O,-38.14332980046373
COC(=O)c1cc(O)c(O)c(O)c1,-6.46391069232989
Nc1c(Cl)cc(cc1Cl)[N+]([O-])=O,-4.939844870705596
OC(=O)C1=CC(=O)C=C(O1)C(O)=O,2.6272340106118577
CC(=C)C1CC=C(C)C(=O)C1,43.006183710062935
Nc1cc(ccc1O)[N+]([O-])=O,-7.1889720350304875
COc1ccc(cc1N)[N+]([O-])=O,-6.176063528004987
CCC(C)c1ccc(O)cc1,-5.0622223724501785
CC1CCC(CC1)C(C)C,33.50577881997549
CC(C)C1=CCC(=CC1)C,40.50238352291717
Oc1ccc(cc1)[N+]([O-])=O,-5.138777706380424
OC(=O)c1ccc(cc1)C(O)=O,-3.2424861765338586
CCN(CC)CCO,28.30418613457482
C=CC1CCC=CC1,39.85582650886563
NCc1ccccc1,-7.4746850578516595
N#Cc1ccncc1,-60.30607085221511
N#Cc1cccnc1,-60.347960852215316
OCc1cccnc1,-9.103080729201352
ON=C1CCCCC1,32.66908065037057
OCC1CCCCO1,29.67445046322441
CCN1CCOCC1,29.15559329889955
Cc1cccc(C=C)c1,-0.8625563636796159
CC(Oc1cccc(Cl)c1)C(O)=O,-3.466567856654706
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,-42.28178520812544
ClCC#CCOC(=O)Nc1cccc(Cl)c1,-52.167100965618744
CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)c3ccccc3,0.07672019954620167
Oc1ccc(Cc2ccccc2)cc1,-40.17629371515065
Nc1ccc(Cc2ccc(N)cc2)cc1,-43.490875208125274
NC(Nc1ccccc1)=Nc2ccccc2,-41.57322218530412
O=C(Nc1ccccc1)Nc2ccccc2,-41.21737502097946
CCc1cc(CC)cc(CC)c1,-3.2306381940747144
CCN(CC)CN(CC)CC,29.35697449132589
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,28.41822836915145
C=CCN(CC=C)CC=C,42.64638087438839
OCCN(CCO)CCO,26.666291805925184
CCCCN(CCO)CCCC,30.567590162676023
CCCCN(CCCC)CCCC,32.612484341051804
CCCCC(CC)COC(=O)C=C,38.72016053696832
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,42.30775978559217
BrCCc1ccccc1,-3.767352222175745
CNCc1ccccc1,-6.7249665508255845
CCNc1ccccc1,-7.076386550825533
CN(C)Cc1ccccc1,-5.984428043800478
CC(=O)Nc1ccc(C)cc1,-4.876677856654737
CC(=O)Nc1ccc(cc1)[N+]([O-])=O,-3.1892776695091527
CC(=O)Nc1ccc(cc1)/C=N/NC(N)=S,-1.612014796962313
Cc1ccc(cc1)[S](O)(=O)=O,6.225486659141081
